0	0.5
1000	0.499689
2000	0.498825
3000	0.497439
4000	0.495508
5000	0.493046
6000	0.490023
7000	0.486334
8000	0.481797
9000	0.476146
10000	0.469493
11000	0.46223
12000	0.45457
13000	0.446738
14000	0.438585
15000	0.430237
16000	0.421171
17000	0.411944
18000	0.402744
19000	0.393596
20000	0.384517
21000	0.37569
22000	0.367336
23000	0.359418
24000	0.351876
25000	0.344726
26000	0.337996
27000	0.331639
28000	0.325677
29000	0.320028
30000	0.314724
31000	0.309884
32000	0.305511
33000	0.3016
34000	0.298168
35000	0.295124
36000	0.292536
37000	0.290317
38000	0.288485
39000	0.287201
40000	0.286406
41000	0.286057
42000	0.285918
43000	0.285858
44000	0.28581
45000	0.285763
46000	0.28571
47000	0.285654
48000	0.285596
49000	0.285535
50000	0.28547
51000	0.28541
52000	0.285351
53000	0.285291
54000	0.285231
55000	0.285172
56000	0.285116
57000	0.285065
58000	0.285017
59000	0.284976
60000	0.284941
61000	0.284911
62000	0.284886
63000	0.284865
64000	0.284849
65000	0.284838
66000	0.284829
67000	0.28482
68000	0.284812
69000	0.284805
70000	0.284798
