0	0.5
1000	0.499698
2000	0.498848
3000	0.497486
4000	0.495586
5000	0.49313
6000	0.490087
7000	0.486413
8000	0.481871
9000	0.476358
10000	0.46996
11000	0.462656
12000	0.454572
13000	0.446485
14000	0.438283
15000	0.429811
16000	0.421223
17000	0.412844
18000	0.404721
19000	0.397192
20000	0.390317
21000	0.383958
22000	0.37696
23000	0.36944
24000	0.362208
25000	0.355439
26000	0.349088
27000	0.343105
28000	0.3376
29000	0.332667
30000	0.328138
31000	0.324502
32000	0.321299
33000	0.318605
34000	0.316462
35000	0.314662
36000	0.313406
37000	0.312797
38000	0.312447
39000	0.312129
40000	0.311872
41000	0.311732
42000	0.311653
43000	0.311612
44000	0.31158
45000	0.311549
46000	0.31152
47000	0.311492
48000	0.311466
49000	0.31144
50000	0.311416
51000	0.311392
52000	0.31137
53000	0.311348
54000	0.311326
55000	0.311305
56000	0.311284
57000	0.311264
58000	0.311244
59000	0.311225
60000	0.311206
61000	0.311188
62000	0.31117
63000	0.311153
64000	0.311135
65000	0.311119
66000	0.311096
67000	0.31108
68000	0.311064
69000	0.311048
70000	0.311032
