0	0.698
1000	0.698327
2000	0.69925
3000	0.700811
4000	0.702974
5000	0.705815
6000	0.709537
7000	0.714217
8000	0.719847
9000	0.725863
10000	0.732071
11000	0.738413
12000	0.746019
13000	0.753913
14000	0.762295
15000	0.770539
16000	0.779646
17000	0.788802
18000	0.79745
19000	0.805804
20000	0.814012
21000	0.822285
22000	0.830525
23000	0.838755
24000	0.846964
25000	0.855165
26000	0.863343
27000	0.871513
28000	0.879671
29000	0.887816
30000	0.895952
31000	0.904076
32000	0.912197
33000	0.920306
34000	0.928409
35000	0.936496
36000	0.944538
37000	0.95258
38000	0.960584
39000	0.968568
40000	0.976553
41000	0.984481
42000	0.992409
43000	0.994177
44000	0.986218
45000	0.978258
46000	0.970299
47000	0.962339
48000	0.954378
49000	0.947464
50000	0.940812
51000	0.935577
52000	0.930919
53000	0.92626
54000	0.921602
55000	0.917007
56000	0.913214
57000	0.911123
58000	0.911456
59000	0.911789
60000	0.912127
61000	0.912476
62000	0.912825
63000	0.913175
64000	0.913524
65000	0.913873
66000	0.916644
67000	0.919592
68000	0.922971
69000	0.928437
70000	0.933903
