0
0	-88290	-88290	-88290	0	0	0
1	-88290	-88290	-88290	0	0	0
2	-88290	-88290	-88290	0	0	0
3	-88290	-88290	-88290	0	0	0
4	-88290	-88290	-88290	0	0	0
5	-88290	-88290	-88290	0	0	0
6	-88290	-88290	-88290	0	0	0
7	-88290	-88290	-88290	0	0	0
8	-78480	-78480	-78480	0	0	0
9	-78480	-78480	-78480	0	0	0
10	-78480	-78480	-78480	0	0	0
11	-78480	-78480	-78480	0	0	0
12	-78480	-78480	-78480	0	0	0
13	-78480	-78480	-78480	0	0	0
14	-78480	-78480	-78480	0	0	0
15	-78480	-78480	-78480	0	0	0
16	-68670	-68670	-68670	0	0	0
17	-68670	-68670	-68670	0	0	0
18	-68670	-68670	-68670	0	0	0
19	-68670	-68670	-68670	0	0	0
20	-68670	-68670	-68670	0	0	0
21	-68670	-68670	-68670	0	0	0
22	-68670	-68670	-68670	0	0	0
23	-68670	-68670	-68670	0	0	0
24	-58860	-58860	-58860	0	0	0
25	-58860	-58860	-58860	0	0	0
26	-58860	-58860	-58860	0	0	0
27	-58860	-58860	-58860	0	0	0
28	-58860	-58860	-58860	0	0	0
29	-58860	-58860	-58860	0	0	0
30	-58860	-58860	-58860	0	0	0
31	-58860	-58860	-58860	0	0	0
32	-49050	-49050	-49050	0	0	0
33	-49050	-49050	-49050	0	0	0
34	-49050	-49050	-49050	0	0	0
35	-49050	-49050	-49050	0	0	0
36	-49050	-49050	-49050	0	0	0
37	-49050	-49050	-49050	0	0	0
38	-49050	-49050	-49050	0	0	0
39	-49050	-49050	-49050	0	0	0
40	-39240	-39240	-39240	0	0	0
41	-39240	-39240	-39240	0	0	0
42	-39240	-39240	-39240	0	0	0
43	-39240	-39240	-39240	0	0	0
44	-39240	-39240	-39240	0	0	0
45	-39240	-39240	-39240	0	0	0
46	-39240	-39240	-39240	0	0	0
47	-39240	-39240	-39240	0	0	0
48	-29430	-29430	-29430	0	0	0
49	-29430	-29430	-29430	0	0	0
50	-29430	-29430	-29430	0	0	0
51	-29430	-29430	-29430	0	0	0
52	-29430	-29430	-29430	0	0	0
53	-29430	-29430	-29430	0	0	0
54	-29430	-29430	-29430	0	0	0
55	-29430	-29430	-29430	0	0	0
56	-19620	-19620	-19620	0	0	0
57	-19620	-19620	-19620	0	0	0
58	-19620	-19620	-19620	0	0	0
59	-19620	-19620	-19620	0	0	0
60	-19620	-19620	-19620	0	0	0
61	-19620	-19620	-19620	0	0	0
62	-19620	-19620	-19620	0	0	0
63	-19620	-19620	-19620	0	0	0
64	-9810	-9810	-9810	0	0	0
65	-9810	-9810	-9810	0	0	0
66	-9810	-9810	-9810	0	0	0
67	-9810	-9810	-9810	0	0	0
68	-9810	-9810	-9810	0	0	0
69	-9810	-9810	-9810	0	0	0
70	-9810	-9810	-9810	0	0	0
71	-9810	-9810	-9810	0	0	0
72	-0	-0	-0	0	0	0
73	-0	-0	-0	0	0	0
74	-0	-0	-0	0	0	0
75	-0	-0	-0	0	0	0
76	-0	-0	-0	0	0	0
77	-0	-0	-0	0	0	0
78	-0	-0	-0	0	0	0
79	-0	-0	-0	0	0	0
